,Term,LoanStatus,BorrowerAPR,BorrowerRate,ProsperRating,ListingCategory,BorrowerState,Occupation,EmploymentStatus,IncomeRange,StatedMonthlyIncome,LoanOriginalAmount,LoanOriginationDate,MonthlyLoanPayment,LoanOriginationYear
26,60,Completed,0.30748,0.2809,E,Debt Consolidation,NY,Sales - Commission,Employed,"$25,000-49,999",3885.916667,4000,2013-02-21,124.76,2013
27,36,Completed,0.11296,0.092,A,Debt Consolidation,CO,Executive,Full-time,"$75,000-99,999",6666.666667,4000,2010-06-24,0.0,2010
30,36,Completed,0.12782,0.0999,A,Wedding Loans,CA,Other,Employed,"$25,000-49,999",3750.0,10000,2012-02-07,322.62,2012
33,36,Completed,0.08191,0.0785,AA,Other,IL,Other,Employed,"$100,000+",13083.333333,16000,2010-10-26,500.28,2010
57,36,non-remittance,0.29394,0.2552,D,Debt Consolidation,NY,Construction,Employed,"$100,000+",9166.666667,2000,2012-01-20,80.07,2012
67,12,Completed,0.35843,0.2669,E,Debt Consolidation,CA,Professional,Employed,"$50,000-74,999",4777.0,3000,2011-06-27,287.6,2011
72,36,Completed,0.2951,0.2599,D,Other,FL,Other,Employed,"$100,000+",8333.333333,4500,2011-05-27,181.28,2011
74,36,non-remittance,0.35643,0.3199,E,Other,FL,Fireman,Employed,"$50,000-74,999",5314.25,2500,2011-03-16,108.87,2011
75,36,non-remittance,0.32538,0.2859,E,Vacation,KS,Skilled Labor,Employed,"$50,000-74,999",4750.0,4000,2013-07-01,166.73,2013
77,36,Completed,0.13109,0.1099,B,Auto,VA,Analyst,Full-time,"$75,000-99,999",6466.666667,5600,2011-02-24,183.31,2011
83,36,non-remittance,0.33553,0.2958,E,Other,GA,Accountant/CPA,Employed,"$25,000-49,999",3250.0,4000,2012-06-08,168.89,2012
87,36,Completed,0.33973,0.2999,E,Debt Consolidation,GA,Professional,Employed,"$25,000-49,999",3333.333333,4000,2012-06-01,169.78,2012
88,36,Completed,0.35643,0.3199,HR,Other,CO,Construction,Employed,"$75,000-99,999",6250.0,4000,2011-11-18,174.2,2011
91,36,Completed,0.35858,0.322,E,Debt Consolidation,MN,Other,Employed,"$25,000-49,999",2250.0,3500,2010-12-20,152.83,2010
93,60,non-remittance,0.27462,0.2489,C,Taxes,MN,Laborer,Employed,"$50,000-74,999",5416.666667,7000,2012-06-13,205.01,2012
100,36,non-remittance,0.35356,0.3134,HR,Household Expenses,CA,Other,Not employed,Not employed,0.0,4000,2013-01-30,172.76,2013
102,36,Completed,0.15529,0.1338,A,Debt Consolidation,MD,Professional,Full-time,"$100,000+",15000.0,10000,2009-09-15,322.34,2009
103,36,non-remittance,0.26681,0.2287,D,Business,CO,Truck Driver,Self-employed,"$50,000-74,999",5000.0,15000,2012-04-19,579.63,2012
105,36,non-remittance,0.30532,0.2699,D,Auto,WI,Sales - Commission,Employed,"$25,000-49,999",2666.666667,2000,2011-08-31,81.64,2011
109,36,Completed,0.14476,0.1234,C,Debt Consolidation,IL,Police Officer/Correction Officer,Full-time,"$50,000-74,999",5833.333333,2000,2010-01-20,66.75,2010
110,36,Completed,0.34631,0.31,HR,Other,PA,Nurse (RN),Full-time,"$50,000-74,999",4666.666667,3000,2010-11-30,129.0,2010
112,36,non-remittance,0.35797,0.3177,HR,Debt Consolidation,AL,Social Worker,Employed,"$25,000-49,999",2583.333333,4000,2012-04-17,173.71,2012
130,60,Completed,0.24754,0.2225,D,Home Improvement,TX,Food Service Management,Employed,"$50,000-74,999",4833.333333,10000,2013-09-13,277.61,2013
140,36,Completed,0.12198,0.1009,A,Business,MD,Accountant/CPA,Full-time,"$50,000-74,999",4833.333333,5000,2009-10-20,161.55,2009
147,36,Completed,0.09191,0.0712,AA,Auto,OK,Professional,Full-time,"$50,000-74,999",4169.333333,2200,2009-09-22,68.05,2009
155,60,Completed,0.20705,0.183,B,Business,CA,Computer Programmer,Employed,"$75,000-99,999",6333.333333,15000,2012-04-30,383.35,2012
157,36,non-remittance,0.35797,0.3177,HR,Business,NY,Food Service,Employed,"$25,000-49,999",2500.0,4000,2012-09-14,173.71,2012
159,36,Completed,0.23808,0.2155,C,Home Improvement,OR,Analyst,Full-time,"$25,000-49,999",3493.75,3000,2010-03-12,113.87,2010
165,36,Completed,0.09643,0.093,AA,Business,CA,Other,Full-time,"$50,000-74,999",5250.0,9000,2010-03-30,283.91,2010
170,36,Completed,0.28851,0.2499,D,Other,FL,Other,Not employed,Not employed,0.0,10000,2012-04-17,397.55,2012
171,36,Completed,0.11296,0.092,A,Business,GA,Tradesman - Mechanic,Full-time,"$50,000-74,999",5586.5,6500,2010-03-25,207.3,2010
186,36,non-remittance,0.35797,0.3177,HR,Home Improvement,MD,Other,Not employed,Not employed,0.0,4000,2012-02-16,173.71,2012
194,36,Completed,0.2951,0.2599,D,Other,KY,Other,Employed,"$50,000-74,999",4166.666667,3800,2011-10-24,153.08,2011
197,36,Completed,0.19108,0.1621,B,Debt Consolidation,FL,Waiter/Waitress,Employed,"$25,000-49,999",2083.333333,3000,2011-12-22,105.78,2011
198,36,Completed,0.29265,0.2575,D,Other,NY,Professional,Employed,"$100,000+",10000.0,3000,2010-08-09,0.0,2010
200,36,non-remittance,0.35643,0.3199,HR,Business,VA,Executive,Employed,"$50,000-74,999",5500.0,4000,2011-09-30,174.2,2011
218,36,non-remittance,0.19236,0.1559,B,Debt Consolidation,WA,Other,Self-employed,"$50,000-74,999",4416.666667,10000,2013-03-18,349.55,2013
219,36,Completed,0.21933,0.197,C,Debt Consolidation,NY,Professional,Full-time,"$100,000+",12500.0,5500,2010-01-25,203.56,2010
223,36,Completed,0.13799,0.1099,A,Debt Consolidation,FL,Administrative Assistant,Employed,"$25,000-49,999",3000.0,7000,2013-10-10,229.14,2013
230,60,Completed,0.14453,0.1219,A,Debt Consolidation,MI,Other,Employed,"$25,000-49,999",3666.666667,8000,2013-08-08,178.72,2013
239,36,Completed,0.11766,0.0899,A,Other,NY,Professional,Employed,"$50,000-74,999",6000.0,2000,2012-03-13,63.59,2012
240,36,Completed,0.28851,0.2499,D,Home Improvement,OH,Laborer,Employed,"$25,000-49,999",2291.666667,2000,2012-05-29,79.51,2012
242,36,Completed,0.35858,0.322,E,Debt Consolidation,FL,Professional,Employed,"$50,000-74,999",4504.166667,7500,2010-12-16,327.49,2010
245,12,Completed,0.11893,0.0817,A,Debt Consolidation,NY,Computer Programmer,Employed,"$100,000+",8333.333333,10000,2012-07-06,870.67,2012
